"person","app","day","month","year","strDate","date"
"f","mg","09","07","2018","09-07-2018","20180709"
"f","mg","01","07","2018","01-07-2018","20180701"
"f","mg","16","05","2018","16-05-2018","20180516"
"f","mg","12","04","2018","12-04-2018","20180412"
"f","mg","30","03","2018","30-03-2018","20180330"
"f","mg","23","02","2018","23-02-2018","20180223"
"f","mg","22","02","2018","22-02-2018","20180222"
"f","mg","05","02","2018","05-02-2018","20180205"
"f","mg","03","02","2018","03-02-2018","20180203"
"f","mg","20","01","2018","20-01-2018","20180120"
"f","mg","18","01","2018","18-01-2018","20180118"
"f","mg","17","01","2018","17-01-2018","20180117"
"f","mg","15","01","2018","15-01-2018","20180115"
"f","mg","08","01","2018","08-01-2018","20180108"
"f","mg","29","10","2017","29-10-2017","20171029"
"f","mg","13","10","2017","13-10-2017","20171013"
"f","mg","12","10","2017","12-10-2017","20171012"
"f","mg","06","10","2017","06-10-2017","20171006"
"f","mg","17","09","2017","17-09-2017","20170917"
"f","mg","31","08","2017","31-08-2017","20170831"
"f","mg","20","08","2017","20-08-2017","20170820"
"f","mg","23","07","2017","23-07-2017","20170723"
"f","mg","14","07","2017","14-07-2017","20170714"
"f","mg","12","07","2017","12-07-2017","20170712"
"f","mg","02","07","2017","02-07-2017","20170702"
"f","mg","16","06","2017","16-06-2017","20170616"
"f","mg","14","06","2017","14-06-2017","20170614"
"f","mg","14","06","2017","14-06-2017","20170614"
"f","mg","29","05","2017","29-05-2017","20170529"
"f","mg","28","05","2017","28-05-2017","20170528"
"f","mg","26","05","2017","26-05-2017","20170526"
"f","mg","22","05","2017","22-05-2017","20170522"
"f","mg","21","05","2017","21-05-2017","20170521"
"f","mg","20","05","2017","20-05-2017","20170520"
"f","mg","20","05","2017","20-05-2017","20170520"
"f","mg","19","05","2017","19-05-2017","20170519"
"f","mg","10","05","2017","10-05-2017","20170510"
"f","mg","10","05","2017","10-05-2017","20170510"
"f","mg","09","05","2017","09-05-2017","20170509"
"f","mg","26","03","2017","26-03-2017","20170326"
"f","mg","25","03","2017","25-03-2017","20170325"
"f","mg","23","03","2017","23-03-2017","20170323"
"f","mg","18","03","2017","18-03-2017","20170318"
"f","mg","14","03","2017","14-03-2017","20170314"
"f","mg","12","03","2017","12-03-2017","20170312"
"f","mg","10","03","2017","10-03-2017","20170310"
"f","mg","03","03","2017","03-03-2017","20170303"
"f","mg","20","02","2017","20-02-2017","20170220"
"f","mg","08","02","2017","08-02-2017","20170208"
"f","mg","30","01","2017","30-01-2017","20170130"
"f","mg","16","01","2017","16-01-2017","20170116"
"f","mg","14","01","2017","14-01-2017","20170114"
"f","mg","11","01","2017","11-01-2017","20170111"
"f","mg","29","12","2016","29-12-2016","20161229"
"f","mg","21","11","2016","21-11-2016","20161121"
"f","mg","16","11","2016","16-11-2016","20161116"
"f","mg","14","11","2016","14-11-2016","20161114"
"f","mg","02","11","2016","02-11-2016","20161102"
"f","mg","01","11","2016","01-11-2016","20161101"
"f","mg","31","10","2016","31-10-2016","20161031"
"f","mg","31","10","2016","31-10-2016","20161031"
"f","mg","30","10","2016","30-10-2016","20161030"
"f","mg","25","10","2016","25-10-2016","20161025"
"f","mg","24","10","2016","24-10-2016","20161024"
"f","mg","19","10","2016","19-10-2016","20161019"
"f","mg","17","10","2016","17-10-2016","20161017"
"f","mg","17","10","2016","17-10-2016","20161017"
"f","mg","17","10","2016","17-10-2016","20161017"
"f","mg","16","10","2016","16-10-2016","20161016"
"f","mg","16","10","2016","16-10-2016","20161016"
"f","mg","16","10","2016","16-10-2016","20161016"
"f","mg","16","10","2016","16-10-2016","20161016"
"f","mg","15","10","2016","15-10-2016","20161015"
"f","mg","15","10","2016","15-10-2016","20161015"
"f","mg","15","10","2016","15-10-2016","20161015"
"f","mg","15","10","2016","15-10-2016","20161015"
"f","mg","15","10","2016","15-10-2016","20161015"
"f","mg","15","10","2016","15-10-2016","20161015"
"f","mg","15","10","2016","15-10-2016","20161015"
"f","mg","15","10","2016","15-10-2016","20161015"
"f","mg","15","10","2016","15-10-2016","20161015"
"f","mg","15","10","2016","15-10-2016","20161015"
"f","mg","15","10","2016","15-10-2016","20161015"
"f","mg","14","10","2016","14-10-2016","20161014"
"f","mg","14","10","2016","14-10-2016","20161014"
"f","mg","14","10","2016","14-10-2016","20161014"
"f","mg","14","10","2016","14-10-2016","20161014"
"f","mg","13","10","2016","13-10-2016","20161013"
